emp_id,emp_name,emp_title,emp_type,bday,join_date,nationality,status,special_note
1,Abey Oehme,Junior Sales,Office,1997-03-17,2014-04-08,Singapore,Employed,
2,Thia Wordsley,Senior Sales,Office,1991-04-29,2019-02-14,Malaysia,Employed,
3,Clevey Weedon,Marketing Manager,Office,1996-08-24,2015-08-06,Malaysia,Employed,
4,Berget Barrand,Operation Manager,Office,1993-10-31,2021-05-13,Singapore,Employed,
5,Coriss Godfroy,Accountant,Office,1992-03-12,2018-04-02,Singapore,Employed,
6,Brittne Goodban,Human Resource Manager,Office,1996-12-10,2019-10-05,Singapore,Employed,
7,Bili Oxteby,Marketing Assistant,Office,1994-07-14,2014-04-24,Singapore,Employed,
8,Stan Halleday,Delivery Driver,Delivery,1995-02-09,2015-05-17,Bangladesh,Employed,
9,Clio Metzing,Delivery Driver,Delivery,1996-12-03,2018-09-09,Bangladesh,Employed,
10,Aguste Lote,Delivery Driver,Delivery,1990-07-18,2017-05-21,Bangladesh,Employed,
11,Janeva Keane,Junior Sales,Office,1994-02-13,2016-02-01,Singapore,Employed,
12,Chariot Jamieson,Administration,Office,1997-02-09,2014-06-24,Singapore,Employed,
13,Kayla Cassar,Junior Sales,Office,1997-10-23,2019-03-21,Singapore,Employed,
14,Delphine Taffley,Junior Sales,Office,1994-07-18,2018-02-07,Singapore,Employed,
15,Ruttger Helleckas,Junior Sales,Office,1995-07-20,2019-10-01,Malaysia,Employed,
16,Moria Moff,Junior Sales,Office,1995-12-10,2018-10-26,Malaysia,Employed,
17,Bess Meuse,Junior Sales,Office,1993-06-09,2015-07-29,Malaysia,Employed,
18,Crystal Kann,Junior Sales,Office,1994-09-21,2016-08-04,Singapore,Employed,
19,Angie Jirka,Junior Sales,Office,1995-01-07,2014-06-20,Singapore,Employed,
20,Gregorio Gwinnel,Junior Sales,Office,1994-04-12,2020-08-01,Singapore,Employed,
