invoice_id,sup_name,phone_number,country,company,dept,category,status,special_note,email
1,Mei Serjeant,1694672028,Morocco,Kazio,Marketing,sanitary,,,serjean@gmail.com
2,Mercy Jeremaes,3544376170,Armenia,Dazzlesphere,Sales,lifestyle,,,jeremaes@gmail.com
3,Orton Petschel,5218247497,Russia,Digitube,Product Management,vinyl,,,petschel@gmail.com
4,Kendell Beldom,6254808759,Honduras,Lazzy,Operation,vinyl,,,beldom@gmail.com
5,Marena Jacomb,7446468256,Indonesia,Rhycero,Operation,sanitary,,,jacomb@gmail.com
6,Cilka Lotze,5134718287,Pakistan,Skipfire,Operation,sanitary,,,lotze@gmail.com
7,Rex Dinwoodie,2142501580,Tanzania,Jetpulse,Operation,sanitary,,,dinwoodie@gmail.com
8,Barron Charter,3556736313,Bulgaria,Divanoodle,Operation,sanitary,,,charter@gmail.com
9,Nehemiah McMonnies,3843348868,Japan,Topiclounge,Operation,sanitary,,,mcmonnies@gmail.com
10,Aigneis Wibrew,5883185864,Mexico,Photobug,Sales,lifestyle,,,wibrew@gmail.com
11,Allan Laverack,5879740539,China,Quire,Marketing,lifestyle,,,laverack@gmail.com
12,Milly Klimus,8847881035,Colombia,Centizu,Product Management,lifestyle,,,klimus@gmail.com
